Authors,Title,Year,Journal,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link
"Araújo K.C., Nóbrega E.T.D., Moreira A.J., Lemos S.G., Fragoso W.D., Pereira E.C.","Fast and efficient processes for oxidation and monitoring of polycyclic aromatic hydrocarbons in environmental matrices",2024,"Catalysis Communications","187",,"106834","","",,"10.1016/j.catcom.2023.106834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185169443&doi=10.1016%2fj.catcom.2023.106834&partnerID=40&md5=00a9cabf0eb059abde977a84f252b1e3"
"Marques G.N., Moreira A.J., Nóbrega E.T.D., Braga S., Argentin M.N., da Cunha Camargo I.L.B., Azevedo E., Pereira E.C., Bernardi M.I.B., Mascaro L.H.","Selective inhibitory activity of multidrug-resistant bacteria by zinc oxide nanoparticles",2024,"Journal of Environmental Chemical Engineering","12","1","111870","","",,"10.1016/j.jece.2023.111870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182405703&doi=10.1016%2fj.jece.2023.111870&partnerID=40&md5=bd024c1c67c829cd7e78af770bdf98d3"
"Liu T., Carneiro-Neto E.B., Pereira E., Taylor J.E., Fletcher P.J., Marken F.","Paired Electrosynthesis at Interdigitated Microband Electrodes: Exploring Diffusion and Reaction Zones in the Absence of a Supporting Electrolyte",2024,"ACS Measurement Science Au",,,,"","",,"10.1021/acsmeasuresciau.4c00009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190735514&doi=10.1021%2facsmeasuresciau.4c00009&partnerID=40&md5=d830a78048fb1f2bd92b964374d559dd"
"Moreira A.J., Blaskievicz S.F., de Assis M., Marques G.N., Menezes W.T., Rabello P.T., Rabahi C., Gobato Y.G., Freschi G.P.G., Mascaro L.H., Pereira E.C.","Effect of synthesis methods of Co-modified TiO2 in its photocatalytic and bactericidal activity",2024,"Research on Chemical Intermediates","50","1",,"297","322",,"10.1007/s11164-023-05159-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174187799&doi=10.1007%2fs11164-023-05159-4&partnerID=40&md5=6770e0de16aec4f8342962ee133b4b67"
"Silva T.E.M., Moreira A.J., Nobrega E.T.D., Alencar R.G., Rabello P.T., Blaskievicz S.F., Marques G.N., Mascaro L.H., Paris E.C., Lemos S.G., Pereira E.C., Freschi G.P.G.","Hierarchical structure of 3D ZnO experimentally designed to achieve high performance in the sertraline photocatalysis in natural waters",2023,"Chemical Engineering Journal","475",,"146235","","",,"10.1016/j.cej.2023.146235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172279316&doi=10.1016%2fj.cej.2023.146235&partnerID=40&md5=015a2a92af0aec5d741ef3d8a273c68d"
"Pilonetto L.F., Staciaki F., Nóbrega E., Carneiro-Neto E.B., da Silva J., Pereira E.","Mitigating the capacity loss by crossover transport in vanadium redox flow battery: A chemometric efficient strategy proposed using finite element method simulation",2023,"Chemical Engineering Journal","474",,"145336","","",,"10.1016/j.cej.2023.145336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169921754&doi=10.1016%2fj.cej.2023.145336&partnerID=40&md5=6081e65ad67786099dca3cec61203488"
"Carneiro-Neto E.B., Li Z., Pereira E., Mathwig K., Fletcher P.J., Marken F.","Understanding Transient Ionic Diode Currents and Impedance Responses for Aquivion-Coated Microholes",2023,"ACS Applied Materials and Interfaces","15","33",,"39905","39914",,"10.1021/acsami.3c08543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168784416&doi=10.1021%2facsami.3c08543&partnerID=40&md5=2b0657bf694bb1a782107f50e6261695"
"Gubert P., Gubert G., Oliveira R.C.D., Fernandes I.C.O., Bezerra I.C., Ramos B.D., Lima M.F.D., Rodrigues D.T., Cruz A.F.N.D., Pereira E.C., Ávila D.S., Mosca D.H.","Caenorhabditis elegans as a Prediction Platform for Nanotechnology-Based Strategies: Insights on Analytical Challenges",2023,"Toxics","11","3","239","","",,"10.3390/toxics11030239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151138322&doi=10.3390%2ftoxics11030239&partnerID=40&md5=19d1b805e9c3d2561a4a1a9d512e71f4"
"de Oliveira C., Renda C.G., Moreira A.J., Pereira O.A.P., Pereira E.C., Freschi G.P.G., Bertholdo R.","Evaluation of a graphitic porous carbon modified with iron oxides for atrazine environmental remediation in water by adsorption",2023,"Environmental Research","219",,"115054","","",,"10.1016/j.envres.2022.115054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144265524&doi=10.1016%2fj.envres.2022.115054&partnerID=40&md5=08f35d40e4846931e63f2df8ce57d48b"
"Moreira A.J., Dos Santos B.R.M., Dias J.A., Rabello P.T., Coelho D., Mascaro L.H., Freschi G.P.G., Gobato Y.G., Galeti H.V.A., Mastelaro V.R., Pereira E.C.","Photoactivity of boron-or nitrogen-modified TiO2for organic pollutants degradation: Unveiling the photocatalytic mechanisms and by-products",2023,"Journal of Environmental Chemical Engineering","11","1","109207","","",,"10.1016/j.jece.2022.109207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145874663&doi=10.1016%2fj.jece.2022.109207&partnerID=40&md5=35de2da90c2b92aedf41c1aeda08adfc"
"Machado E.G., Marchezi P.E., Therézio E.M., Germino J.C., Szostak R., de Brito C.S., Gobato Y.G., Pereira E.C., Toney M.F., Nagao R., Nogueira A.F.","Light-induced halide segregation in perovskites with wrinkled morphology",2022,"Journal of Energy Chemistry","71",,,"83","88",,"10.1016/j.jechem.2022.03.049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128465864&doi=10.1016%2fj.jechem.2022.03.049&partnerID=40&md5=84e6e8981663476393979edc975f067d"
"Wosiak G., Silva J.D., Sena S.S., Carneiro-Neto E.B., Lopes M.C., Pereira E.","Investigation of the influence of the void fraction on the energy consumption of a vertical electrolyser under natural convection",2022,"Journal of Environmental Chemical Engineering","10","3","107577","","",,"10.1016/j.jece.2022.107577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128290696&doi=10.1016%2fj.jece.2022.107577&partnerID=40&md5=29fa58994cf6bd44370a5e47645991a9"
"Moreira A.J., Coelho D., Dias J.A., Mascaro L.H., Freschi G.P.G., Mastelaro V.R., Pereira E.C.","Phase control and optimization of photocatalytical properties of samarium doped TiO2 synthesized by coupled ultraviolet and microwave radiations",2022,"Journal of Alloys and Compounds","905",,"164217","","",,"10.1016/j.jallcom.2022.164217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124583330&doi=10.1016%2fj.jallcom.2022.164217&partnerID=40&md5=cffc8b6fd4f5c6a70dcf5c78c9ffd7c8"
"Gonçalves R., Paiva R.S., Ramírez A.M.R., Mwanda J.A., Pereira E.C., Cuesta A.","Mapping the electronic structure of polypyrrole with image-based electrochemical scanning tunneling spectroscopy",2022,"Electrochemical Science Advances","2","2","e2100028","","",,"10.1002/elsa.202100028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159824846&doi=10.1002%2felsa.202100028&partnerID=40&md5=c3875d9c41b9e50f054f3fef6c8a90ff"
"Cai J., Zhang W., Xu L., Hao C., Ma W., Sun M., Wu X., Qin X., Colombari F.M., de Moura A.F., Xu J., Silva M.C., Carneiro-Neto E.B., Gomes W.R., Vallée R.A.L., Pereira E.C., Liu X., Xu C., Klajn R., Kotov N.A., Kuang H.","Polarization-sensitive optoionic membranes from chiral plasmonic nanoparticles",2022,"Nature Nanotechnology","17","4",,"408","416",,"10.1038/s41565-022-01079-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126240833&doi=10.1038%2fs41565-022-01079-3&partnerID=40&md5=8165360eff031ac7c7253f2db8369c15"
"Moreira A.J., Lemos S.G., Coelho D., Mascaro L.H., Freschi G.P.G., Pereira E.C.","UV–Vis spectrophotometry coupled to chemometric analysis for the performance evaluation of atrazine photolysis and photocatalysis",2022,"Environmental Science and Pollution Research","29","16",,"24010","24023",,"10.1007/s11356-021-17687-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120621166&doi=10.1007%2fs11356-021-17687-w&partnerID=40&md5=0feff9a3f5264d76ba5b803d6d163acf"
"Wosiak G., da Silva J., Sena S.S., de Andrade R.N., Pereira E.","CFD simulation and experimental comparison of bubble-induced convection during electrochemical water splitting",2022,"Chemical Engineering Journal","433",,"133194","","",,"10.1016/j.cej.2021.133194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119364861&doi=10.1016%2fj.cej.2021.133194&partnerID=40&md5=c327a98471f6a55bee499ce4a65280cf"
"Lima A.S., Rocha R.D.C., Pereira E.C., Sikora M.S.","Photodegradation of Ciprofloxacin antibiotic over TiO2 grown by PEO: ecotoxicity response in Lactuca sativa L. and Lemna minor",2022,"International Journal of Environmental Science and Technology","19","4",,"2771","2780",,"10.1007/s13762-021-03239-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102309565&doi=10.1007%2fs13762-021-03239-9&partnerID=40&md5=5d053b987fdd55da3f679996f2c1c040"
"Gonçalves R., Pereira E.C.","Chemometric Evaluation of Poly(3-hexylthiophene) Electrochemical Aging Path as a Function of Electrochemical Synthesis Variables",2022,"Journal of the Brazilian Chemical Society","33","7",,"762","771",,"10.21577/0103-5053.20220039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139554843&doi=10.21577%2f0103-5053.20220039&partnerID=40&md5=3d0ee83f7bb01e4418c08bf67512c176"
